Event_Type,Event_Potential_Impact,Event_Confidence,Event_Priority,Event_Probablity,Amount,Event_Status
-0.6117119995,-0.7697053241,-0.1497591454,-0.2248765032,2.0285773562,-0.325475009,0
-0.8146817109,1.3192188586,1.3294145898,0.0272727054,-0.2848706224,-0.324773617,0
-0.3181934845,1.1186177012,0.9698643542,-0.1270521832,0.5695625806,-0.3287973924,0
-1.3282708992,1.0183778702,1.7754255236,-1.57419306,-0.1176962116,-0.2730920986,0
1.2767120147,0.6171198166,-0.578013677,0.8791729207,0.0617056511,-0.3292772922,0
0.0771973998,0.4829279428,-2.234233109,-1.3091237034,2.3865698184,-0.0740444222,0
-0.9585844471,1.1090856485,1.5581586109,0.8787068422,1.9145590828,-0.3079032928,0
-0.9928988322,1.430204282,1.0712562044,1.3631273168,0.1163146748,-0.3283913233,0
-1.1436931045,-0.2509830806,1.013022193,-0.6710797976,1.3634375761,-0.0214400196,0
0.5550434203,-0.0994844007,-0.1022340421,-0.6241449649,1.4843643096,-0.268440762,0
0.8842817996,-0.9734952903,0.9290795773,0.3979546677,-1.4635635107,0.3229434696,0
1.4437029883,-0.3771900024,-0.5083748136,-1.0420337349,0.1540326873,-0.2065706014,0
1.0248140421,-1.1799479257,1.702953617,-0.8337521697,-1.5986195621,-0.2524194913,0
1.1691174572,-2.0196460382,1.5028114163,-0.6648421495,-2.6415224441,0.1550154503,0
1.96325167,-0.3775003998,-0.5833418852,0.0278072654,-0.2831891019,-0.3136251752,0
0.1442126142,-2.6522503342,-1.0208341494,-0.085545665,-1.189349949,2.2159267412,0
-1.5240808958,-1.0932261006,0.745317197,1.3073155891,2.4179644845,-0.3123331372,0
-0.6568607903,1.0422562312,0.7199765042,0.7762015122,-0.2370696284,-0.0720509922,0
1.0047089422,-1.3526553266,-0.2884383168,-1.0517016271,-0.3723746285,0.5220280614,0
-0.2929456296,1.1618322316,1.6203464366,0.240349732,0.4167448191,-0.324773617,0
1.9445318813,-1.5871950397,-0.0353375673,-0.8350961308,-1.5674300607,0.0887523606,0
2.0380394785,-0.1131680331,-1.3443288595,0.3808160642,-0.0972627769,-0.2757130899,0
1.8846799996,-1.0550010273,-1.2359901836,-0.6632681415,0.2329789828,-0.1037612953,0
-1.7276685944,0.392697925,-0.5872886023,-1.3140559539,2.1009142432,-0.3283913233,0
-1.0264070997,1.1739325148,1.9970196481,-0.6394361268,0.0367292063,-0.26574594,0
1.7666307153,-1.5973331112,-0.6313249384,-0.8591813534,-1.2074452872,0.4099160819,0
2.1051641927,-0.0198021877,-1.6994131339,0.0054206195,0.5832093254,-0.3295726151,0
2.1573304003,-0.8534825219,-1.8958208171,-0.9430195912,-0.1511444164,-0.2075304011,0
-1.6941485863,1.2287595191,-0.4476824651,-0.8035112972,0.7169252523,-0.147506009,0
0.4952394664,-2.1983490593,1.1652380232,0.1060387395,-2.1421208041,1.1445319501,0
-1.8436185513,1.6057235389,0.5692595526,-1.5005282052,-0.6437887393,-0.3179073581,0
1.9166127157,-0.7836422002,-0.6771322492,-1.3733346936,-0.8695697322,-0.0498279393,0
-5.8936758117,-7.5559901556,0.1132196732,-1.9420568762,2.0169994803,2.5075212508,0
-1.569565016,0.9105998818,-0.5553222181,0.387327593,-0.5607393565,0.6830898218,0
1.1238825695,0.1225914223,0.9770975832,1.2761371265,-0.7090950216,-0.2951674901,0
-0.6039029157,0.3438042818,1.1156193387,-0.5341227192,0.9639754689,-0.3097859767,0
1.2999772211,-0.4413896005,0.0829256586,-0.8225689278,-0.5287495758,-0.2028790644,0
0.177137102,1.0671618559,-2.0216592334,-0.4084452115,0.9702594937,-0.1740481602,0
1.1881481118,0.0902199887,0.585083308,0.5712576817,-0.6425253995,-0.2988959425,0
1.8541162299,-0.6053633855,-1.2906458606,0.2329056186,-0.1766468924,0.07073766,0
0.8280349585,-0.6529789336,0.6340383223,1.6123145311,-0.2984480132,0.3249738149,0
0.0638893606,0.9830015015,1.6845384303,3.3000154921,0.3472856924,-0.313809752,0
-4.8608802736,3.3685901269,-2.0323332379,2.1272081998,-4.0209147303,0.5077787285,0
-2.3425896312,-0.8043980502,0.8925630989,-0.1479773861,-0.2235621823,0.4505229892,0
-0.7401828894,1.6315805359,-1.188711868,0.6043240108,-0.1009359728,0.0001185567,0
1.386283303,-1.1381090365,0.396933371,-1.5306844826,-1.1690592891,-0.2767098049,0
1.1762204904,-0.320372809,0.8929692555,1.2269103742,-0.2876072023,-0.2990436039,0
1.9874465894,0.0707666119,-1.0734451984,1.1357872134,-0.0539629322,-0.3097859767,0
0.8203514656,-1.0736806185,0.9322158008,0.2921139988,-1.432881997,0.3632181385,0
2.0402110578,-0.1469749748,-2.9559336648,-0.5783559789,2.6093582708,-0.324773617,0
-1.8245552728,2.7276102188,0.7855531753,-0.1212385566,1.2835836726,-0.3221526257,0
1.9590586828,-0.5429279003,-0.5782679484,0.1973857301,-0.3133632538,-0.2841297944,0
-1.6129370994,2.6585127015,-1.0548384684,0.7847067463,-0.4901199862,-0.3287973924,0
1.8619942726,-0.5217843683,-1.1525624348,0.3801140464,-0.1044817293,-0.0095901857,0
2.0806240604,-0.0596229539,-2.0992255326,0.4618121129,0.6288527366,-0.2864554627,0
2.3192223518,-1.2255446891,-0.8550804351,-1.4650539755,-1.3201200954,-0.3136251752,0
-2.9307720941,-2.1926739347,2.0331855457,-0.9015465063,-0.0176100252,0.8607265835,0
-0.0761849287,1.2128820842,-0.5870475313,-0.6455149849,1.0251533423,-0.3236661559,0
-0.5290561632,1.1093196473,-0.3945554208,-0.8117120936,0.1640302205,-0.2976777352,0
1.6672008401,-0.5685898723,-0.1797365002,1.2369258456,-0.4657522873,0.1222346015,0
-7.9658828182,7.0688677489,-6.5779864075,-1.9544024823,-2.8682670195,-0.3238507328,0
-2.0526249365,-0.6552418584,1.3356956744,-0.147212892,0.3415334661,0.7753782475,0
2.1054727682,-0.0627530818,-1.6366871198,-0.0756689459,0.7959784656,-0.3236661559,0
0.1525047233,-0.5976614418,-1.5382714822,-4.0676053512,2.1886487225,-0.2951674901,0
-3.3300134486,-0.1410579783,0.3662079113,0.0548704209,-0.9380477643,1.2842566265,0
-0.3751406443,0.3382905516,1.0910900258,-0.986370705,-0.2031991359,-0.2438551254,0
1.8348466178,-0.5162869822,-0.69968488,1.212565578,-0.2795251814,0.0462996848,0
1.9188903072,-0.1709762897,-0.3091158169,1.578870983,-0.3988212431,-0.2822840258,0
1.0170112437,-0.42595883,0.7268061095,-0.0636259158,-0.5914986336,-0.1032075647,0
2.0387591486,-0.3283407956,-0.6724102835,0.2292414502,-0.0688557793,-0.2952044054,0
1.0578081733,-0.1611842315,0.7156702537,0.7493326709,-0.5481835213,-0.1844582947,0
1.1277191554,-0.0430228858,0.5505713543,1.1557852448,-0.4509270477,-0.2186419275,0
2.0502645113,0.1475456846,-1.7836463387,0.5005622876,0.209118897,-0.3025874795,0
-2.1610787265,1.9150857668,-0.9378791561,-2.5911147413,-0.2162121122,-0.3283913233,0
1.313521942,0.240173851,-0.0134651631,0.1755283113,0.3352002729,-0.324773617,0
1.0601493957,-1.2231623557,1.2489819265,-0.5578347697,-1.9249190825,0.1326816513,0
1.1336154452,-0.0866905327,1.261302786,1.1567016704,-0.9834207146,-0.3283913233,0
-0.254750606,1.1161788859,-0.5468595988,-0.8332444363,0.7628335551,-0.2656721092,0
-2.1774505706,-5.8514934425,-1.1996594235,1.5882693256,-2.2145621797,5.9669344287,0
-2.2713995954,2.0107155942,-0.120049629,1.3003514497,0.5997074488,-0.3320828603,0
-1.0180879779,0.568120555,2.1830401619,0.6783233512,-0.387493787,-0.2957950514,0
0.5078531747,2.0062371671,-2.3448142688,1.5950660364,0.9765573333,-0.3284282387,0
-1.5416784923,3.8467996765,-7.6041141733,3.1214585845,-1.2549241727,0.120794902,1
-0.4437638701,0.7089683053,1.1614386534,1.0288591517,-0.4518343977,0.5110641964,0
-3.4194226382,-1.1300755981,1.6070863738,2.2299789221,2.6440890313,-0.2482849698,0
2.0668819187,0.2239931313,-1.6733626379,0.4054938201,0.5236704284,-0.3287973924,0
-2.3725522959,1.2172707017,0.2957531606,0.6379231119,-1.1067031661,0.0388058647,0
-0.4331424632,0.421165174,1.903000734,-0.545997469,-0.6793640461,-0.1504592386,0
0.1224939798,-2.9395366343,-2.2910108332,-1.1299739819,0.9913489007,2.3028624381,0
-0.9158490657,0.5802963244,-0.1735322574,-1.2744811702,0.515473021,-0.147506009,0
-0.4515723372,1.4266898813,-0.8955337257,-0.5625518235,0.6097303247,-0.2952044054,0
-2.3627883075,-1.3050386491,2.1973327736,1.7528486418,2.1860231015,-0.332045945,0
-0.1049791972,0.3263763922,0.2080223301,-1.8920272483,0.2377383189,-0.2397944347,0
1.9959655627,-0.247681025,-1.7744118346,0.4606786217,0.2533265063,-0.2089701005,0
1.2119477473,0.3067388891,-0.2827516155,0.8764381561,0.3356687961,-0.3238507328,0
-11.48096669,-16.7099953772,-2.5133836548,2.0115896146,4.7940476638,7.6536346113,0
-1.1747864812,0.0603694257,1.6061344746,1.4206437049,0.8458960998,-0.0884414166,0
1.8785545688,-0.4498825071,-1.9135861605,0.3322889083,0.2766733384,0.069150299,0
0.8979752707,-0.13309076,0.367445412,1.3826090316,-0.4422228682,0.1994984714,0
-1.9583743316,2.147629571,0.1479697665,2.2977589989,0.1330216832,0.0314227906,0
1.7107622399,-1.6427165235,-1.9713807768,-1.1725223562,-0.9075984254,0.704537652,0
-1.6597405437,0.3549967103,1.9053378894,-1.0297049918,-0.6792498535,-0.0761116829,0
2.1170138579,-0.8765001621,-1.3506758253,-1.0308938067,-0.4586674732,-0.1497209312,0
2.0882015539,-0.2822009878,-1.8393304027,-0.1175414538,0.4926688289,-0.3283913233,0
-2.245474015,1.945902983,0.4117401086,-0.1819438686,-0.0969324292,-0.324773617,0
-0.4558146086,-0.2066722537,2.1304339489,-0.454155137,-1.8573344563,0.0924438977,0
1.0007893526,-0.613113426,0.4329079778,-0.106298516,-0.5280188022,0.1035185088,0
2.0702848926,-1.4880559187,-2.9091966739,-1.7284823525,0.0974549239,0.3689400209,0
-8.8915983646,5.8458877119,-4.6753317935,1.2087893689,-5.029476708,-0.3136251752,0
-1.3515104253,-0.5268410568,2.3465037387,0.9052590728,0.8113336704,-0.1765584054,0
1.3865592404,-0.4512002745,0.5422190894,-0.4499907985,-0.7718753058,-0.3136251752,0
0.1669188092,-2.022715325,0.6890205118,0.4506367164,-1.6087414712,1.5136856527,0
-1.8131672093,-2.5103076534,0.8974371875,-0.0811573688,1.2069215284,0.1931859431,0
-0.8792545786,1.3504332317,-1.3880560649,-0.0393599868,0.1815432701,-0.2280553469,0
-0.699952164,0.3627257028,2.6523172633,0.2906135007,-0.2031189877,-0.0744504913,0
-0.5951054339,0.5701909797,0.5484385046,0.2424719276,-0.9093914222,0.2626237546,0
-1.1902866612,0.5495543634,2.0187203666,0.0032957816,0.8900131509,-0.3165784048,0
2.2295433799,-0.6930053104,-1.678682739,-1.0179002251,-0.0237184378,-0.2392776195,0
-3.8815520319,-4.4233554768,-0.2878599194,2.1421668702,-4.4488958864,6.2720768793,0
1.1617000823,-0.5416757067,0.894958672,0.6380068258,-1.1897505017,-0.0404514353,0
-4.1004469496,1.4388541551,-0.6100690932,-0.8576167616,-1.3958922595,-0.3303847533,0
-0.3195111697,1.1214533362,-0.0751709486,-0.5510123595,0.1393634726,-0.2756761746,0
1.8657418258,0.3832912364,-0.3785501383,3.7031232093,0.3339311113,-0.2203400345,0
-3.2575651609,2.5989511572,-0.0223192671,-2.0949806086,-0.1873622936,-0.3179073581,0
-0.3340552125,0.7906054951,1.5836284356,-0.5976625862,0.5284850673,-0.3145480594,0
-0.57754744,1.0094144638,1.4765838314,-0.3029488266,0.1666152737,-0.2952044054,0
-0.9036282241,-0.2333625977,2.5808635313,-0.9905723266,-0.3979202546,-0.0690239318,0
-0.3356930239,1.0464459659,-1.1176219018,-1.1881771295,1.3143957741,-0.2176452125,0
-0.3821536343,1.1166242753,1.3309267774,1.0227257078,0.2915623654,-0.3061682704,0
-0.3833092929,0.8952138228,0.0027832777,1.0664711467,1.110514555,-0.1948315137,0
-0.4076459358,0.3902232122,2.2933100933,-0.6436635328,-0.8535227819,-0.2791462194,0
2.0669241351,0.0221956185,-2.2334235014,0.1546541936,0.8865043804,-0.1678094627,0
-1.5003017066,0.424785863,1.0488408117,-0.7503088768,-0.2914755354,0.2954784341,0
1.9777091599,-1.2542468146,0.1296725559,-0.5819685145,-1.5168820331,-0.1626413108,0
-1.730020005,-1.2155086765,0.1360100251,-1.5623449731,3.2702224041,-0.3292772922,0
-1.6160743674,-0.1655939555,1.8406364485,-1.9525839515,-0.8295297426,0.2179561566,0
1.9359432422,-0.644385416,-0.5195778519,0.1413809374,-0.6452710355,-0.1571409207,0
-1.7046823112,1.6704421008,0.8196908382,-0.7188609052,-0.6207540071,-0.3283913233,0
-0.9925882552,1.3915816814,1.9284795716,2.4896330436,0.2936022725,-0.162161411,0
1.4874263465,-1.2411288195,-0.6467325462,0.3603881544,-1.0294770084,0.6738609793,0
-2.1059337106,-0.6598678819,1.8577418554,-0.2460689705,0.1265260204,-0.0404514353,0
-1.3456171281,1.5730000424,1.4891223753,-0.4005411727,0.9897079109,-0.2980838043,0
1.2209751738,0.0832975769,0.6241642408,0.8816895151,-0.5310939142,-0.2970501739,0
1.6734598685,-0.6478890275,-2.8162776638,0.0794715127,0.702864541,0.5132791186,0
1.7154909348,-0.5681439976,-1.9698006475,0.179668518,0.6112692103,-0.0007304969,0
1.2900026521,-0.3739948057,0.2042136561,0.273631622,-0.0134524498,-0.2639370868,0
-1.4419261122,-1.3069228161,1.3353681372,-2.1161691555,0.953509308,-0.0662921944,0
2.0162467768,0.166646799,-1.7458433284,0.5241952405,0.23154379,-0.2479158161,0
-0.8864504388,0.9141828775,1.4581453856,-0.3909564071,-0.0178028565,-0.3024029026,0
1.2826202865,-0.2886767532,-0.3999097394,0.0821505691,-0.0046868609,-0.0810583426,0
2.0363441611,-0.0338280622,-1.2805212598,0.2960268893,0.2129268683,-0.3283913233,0
-0.8951532815,0.8510970595,1.9558691514,4.643146591,0.5686035752,-0.0633758802,0
0.81236601,-0.5216893773,1.0773587109,1.8110066326,-0.8679393995,0.3309541049,0
1.5694890047,-0.7587319987,-1.9674946265,0.3022380793,0.2732907448,0.5722698803,0
1.0966245958,0.3752425761,1.0770332616,2.3137878074,-0.3024638869,-0.2411972187,0
1.9013195413,0.2546662586,0.1347399602,3.7567023506,0.238130125,-0.3265086394,0
1.9121650413,-1.6791596386,-0.6016977095,-1.0837389304,-1.0580974788,0.2068815455,0
0.6605383322,-1.5128312875,0.5557473826,0.8038029987,-1.44702634,0.8307513029,0
-0.5791609228,0.5051016728,1.5692846094,-0.1505858064,0.8375015665,-0.2572923202,0
